"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","processingDate","individualID","geneticSampleID","wellCoordinates","laboratoryName"
"264dda28-cf05-4c88-8b75-2457ede9b75b","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-08-22T22:00Z","2018-08-23T12:44Z",NA,"MOS.D01.001305","MOS.D01.001305","A8","Kansas Biological Survey"
"5af72215-3d48-4bff-94df-fcdbc1861189","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2018-08-22T22:20Z","2018-08-23T13:28Z",NA,"MOS.D01.001373","MOS.D01.001373","G2","Kansas Biological Survey"
"69dc40b3-0e7e-486d-9537-82274f9e5555","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-08-23T11:37Z","2018-08-23T20:30Z",NA,"MOS.D01.001216","MOS.D01.001216","B4","Kansas Biological Survey"
"92546320-0fee-4e07-99bb-ed4fdbfb532b","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-08-23T12:44Z","2018-08-23T21:31Z",NA,"MOS.D01.001306","MOS.D01.001306","A9","Kansas Biological Survey"
"78d737ca-f419-4b7d-9bbd-08e7d4f56f8b","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-09-05T19:27Z","2018-09-06T11:40Z",NA,"MOS.D01.001210","MOS.D01.001210","A10","Kansas Biological Survey"
"0a4f80be-ce9f-46a7-8efa-f20c22a58aee","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-09-05T19:27Z","2018-09-06T11:40Z",NA,"MOS.D01.001309","MOS.D01.001309","A12","Kansas Biological Survey"
"d7750034-9f71-4a1f-b544-b40ce69b4224","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2018-09-05T19:27Z","2018-09-06T11:40Z",NA,"MOS.D01.001297","MOS.D01.001297","A1","Kansas Biological Survey"
"ce25fd2d-69a5-4056-97cc-707984d497b0","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2018-09-05T19:53Z","2018-09-06T12:12Z",NA,"MOS.D01.001379","MOS.D01.001379","G8","Kansas Biological Survey"
"8d8652de-7c68-41ce-ac68-8a2a03552c7c","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2018-09-05T19:53Z","2018-09-06T12:12Z",NA,"MOS.D01.001320","MOS.D01.001320","B10","Kansas Biological Survey"
"258d8e04-8744-4738-824f-fafb03adc198","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2018-09-05T19:53Z","2018-09-06T12:12Z",NA,"MOS.D01.001340","MOS.D01.001340","D5","Kansas Biological Survey"
"b7cb0f95-a1a2-4b35-991f-aae7c20e6530","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2018-09-05T20:28Z","2018-09-06T12:39Z",NA,"MOS.D01.001365","MOS.D01.001365","F6","Kansas Biological Survey"
"36fd0ebf-1e6b-4895-9fb5-8898e265665c","HARV_078.mosquitoPoint.mos","D01","HARV","HARV_078","2018-09-05T20:43Z","2018-09-06T12:51Z",NA,"MOS.D01.001319","MOS.D01.001319","B9","Kansas Biological Survey"
"da88d236-6660-43e9-bffa-33e700337ac0","HARV_080.mosquitoPoint.mos","D01","HARV","HARV_080","2018-09-05T20:54Z","2018-09-06T13:07Z",NA,"MOS.D01.001287","MOS.D01.001287","H2","Kansas Biological Survey"
"98df0a83-a6f2-409d-ac3c-691ffa4fc8d4","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2018-09-05T21:05Z","2018-09-06T13:17Z",NA,"MOS.D01.001366","MOS.D01.001366","F7","Kansas Biological Survey"
"c15a7ce3-9755-4000-9414-d523bc537b85","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2018-09-05T21:14Z","2018-09-06T13:34Z",NA,"MOS.D01.001367","MOS.D01.001367","F8","Kansas Biological Survey"
"f2147bf5-b31f-4e82-9000-35b22597bd7a","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2018-09-05T21:14Z","2018-09-06T13:34Z",NA,"MOS.D01.001288","MOS.D01.001288","H3","Kansas Biological Survey"
"b23b936d-438e-4a19-8ec1-4d3866ef8403","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2018-09-05T21:25Z","2018-09-06T13:46Z",NA,"MOS.D01.001218","MOS.D01.001218","B6","Kansas Biological Survey"
"7b45ed70-f6f5-4c34-b051-488d9034dea3","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2018-09-05T21:41Z","2018-09-06T13:51Z",NA,"MOS.D01.001378","MOS.D01.001378","G7","Kansas Biological Survey"
