"domainID","siteID","horizontalPosition","verticalPosition","date","wssRHMean","wssRHMinimum","wssRHMaximum","wssRHVariance","wssRHStdErMean","wssRHNumPts","RHQF","wssDewTempMean","wssDewTempMinimum","wssDewTempMaximum","wssDewTempVariance","wssDewTempStdErMean","wssDewTempNumPts","dewTempQF"
"D01","HARV","000","060","2018-01-26",44.6,22.32,57.92,81.38,0.03,78761,1,-17.845,-22.497,-16.58,0.294,0.002,75155,1
"D01","HARV","000","060","2018-01-27",63.19,33.65,99.59,368,0.07,77721,1,-10.476,-20.275,11.353,22.538,0.024,40031,1
"D01","HARV","000","060","2018-01-28",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-01-29",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-01-30",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-01-31",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-01",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-02",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-03",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-04",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-05",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-06",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-07",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-08",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-09",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-10",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-11",99.51,80.28,102,3.69,0.01,62269,1,-1.231,-25.846,22.376,7.82,0.012,54134,1
"D01","HARV","000","060","2018-02-12",79.32,38.93,100.85,486.18,0.08,76464,1,-2.309,-19.633,8.135,32.041,0.02,76430,1
"D01","HARV","000","060","2018-02-13",56.78,17.25,75.42,142.73,0.04,75683,1,-12.248,-22.999,-8.558,3.789,0.007,75421,1
"D01","HARV","000","060","2018-02-14",75.11,0.04,101.79,215.57,0.06,53627,1,-7.325,-70.901,7.976,9.482,0.014,49114,1
"D01","HARV","000","060","2018-02-15",90.1,0,102,123.85,0.05,55682,1,2.18,-47.459,11.706,9.856,0.016,38772,1
"D01","HARV","000","060","2018-02-16",97.39,55.36,101.94,24.93,0.14,1361,1,6.312,3.655,9.567,0.175,0.013,1021,1
"D01","HARV","000","060","2018-02-17",47.49,11.29,93.31,179.58,0.05,74163,1,-12.065,-18.352,-2.152,4.338,0.008,73271,1
"D01","HARV","000","060","2018-02-18",78.33,5.59,101.36,373.59,0.07,75836,1,-5.283,-22.076,-0.358,2.31,0.006,74785,1
"D01","HARV","000","060","2018-02-19",69.96,35.94,100.71,96.14,0.03,79774,1,-4.818,-8.47,3.509,9.829,0.011,77013,1
"D01","HARV","000","060","2018-02-20",86.46,0.96,102,360.94,0.07,68210,1,3.703,-27.697,24.224,3.528,0.008,52685,1
"D01","HARV","000","060","2018-02-21",57.79,0.33,101.73,40.43,0.05,14235,1,0.252,-35.732,11.109,2.211,0.019,6083,1
"D01","HARV","000","060","2018-02-22",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-23",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-24",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-25",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-02-26",50.55,23.35,80.76,216.96,0.08,30284,1,-5.204,-8.164,-1.148,5.081,0.013,30210,1
"D01","HARV","000","060","2018-02-27",45.4,20.56,88.78,157.99,0.05,77971,1,-8.026,-11.597,-4.461,0.868,0.003,77325,1
"D01","HARV","000","060","2018-02-28",46.05,23.51,63.66,137.62,0.04,81302,0,-5.241,-8.604,-1.457,1.455,0.004,80314,1
"D01","HARV","000","060","2018-03-01",56.22,38.39,73,112.75,0.04,78851,1,-1.094,-4.264,2.42,1.971,0.005,78557,1
"D01","HARV","000","060","2018-03-02",89.38,48.6,100.93,119.64,0.04,73533,1,-0.637,-3.548,1.182,0.697,0.003,73513,1
"D01","HARV","000","060","2018-03-03",74.37,47.24,91.56,45.18,0.02,76201,1,-3.223,-5.129,-0.451,0.96,0.004,76183,1
"D01","HARV","000","060","2018-03-04",64.03,49.59,79.65,39.22,0.02,77937,1,-5.088,-7.416,-3.309,0.703,0.003,77767,1
"D01","HARV","000","060","2018-03-05",78.31,5.62,95.15,254.42,0.06,76592,1,-4.085,-11.561,-2.921,0.977,0.004,76543,1
"D01","HARV","000","060","2018-03-06",61.02,40.18,73.61,88.8,0.03,78635,1,-6.749,-7.705,-5.321,0.301,0.002,78635,1
"D01","HARV","000","060","2018-03-07",85.93,39.27,101.28,97.57,0.04,78415,1,-4.859,-8.972,0.514,2.242,0.005,78298,1
"D01","HARV","000","060","2018-03-08",91.96,74.75,96.38,21.5,0.02,78642,1,-3.431,-4.239,-2.107,0.18,0.002,78640,1
"D01","HARV","000","060","2018-03-09",80.96,56.45,94.61,42.21,0.02,78565,1,-6.076,-8.856,-2.882,2.571,0.006,78561,1
"D01","HARV","000","060","2018-03-10",70.15,46.71,90.1,196.13,0.05,79336,1,-6.628,-9.566,-3.473,2.448,0.006,79336,1
"D01","HARV","000","060","2018-03-11",59.51,9.89,93.87,34.49,0.02,75030,1,-8.088,-9.608,-4.802,0.608,0.003,74971,1
"D01","HARV","000","060","2018-03-12",68.96,51.27,81.91,68.19,0.03,78153,1,-5.914,-7.284,-3.434,1.064,0.004,78153,1
"D01","HARV","000","060","2018-03-13",91.26,54.88,99.91,12.38,0.01,78644,1,-3.745,-4.907,3.267,0.537,0.003,78623,1
"D01","HARV","000","060","2018-03-14",89.64,74.59,96.88,25.54,0.02,78436,1,-4.552,-5.967,-2.743,0.688,0.003,78436,1
"D01","HARV","000","060","2018-03-15",72.31,50.79,93.42,185.12,0.05,80958,0,-6.065,-8.101,-3.774,1.544,0.004,80958,0
"D01","HARV","000","060","2018-03-16",57.83,22.62,73.85,116.34,0.04,79561,1,-9.675,-19.761,-1.428,3.732,0.007,79540,1
"D01","HARV","000","060","2018-03-17",50.59,32.32,66.65,121.08,0.04,80005,1,-12.505,-18.594,-9.738,3.643,0.007,80005,1
"D01","HARV","000","060","2018-03-18",33.49,17.92,52.86,131.15,0.04,78346,1,-21.202,-24.56,-18.221,1.874,0.005,78346,1
"D01","HARV","000","060","2018-03-19",30.51,24.54,37.59,15.71,0.01,78179,1,-19.095,-21.631,-16.184,2.564,0.006,78179,1
"D01","HARV","000","060","2018-03-20",38.94,23.71,52.41,86.27,0.03,79324,1,-14.601,-16.258,-12.23,0.733,0.003,79324,1
"D01","HARV","000","060","2018-03-21",47.18,24.47,60.45,51.86,0.03,77305,1,-10.617,-13.55,-8.116,2.473,0.006,77301,1
"D01","HARV","000","060","2018-03-22",58.15,24.95,91.07,469.51,0.08,72695,1,-6.446,-11.303,-2.99,6.403,0.009,72691,1
"D01","HARV","000","060","2018-03-23",48.85,35.77,61.9,62.9,0.03,79213,1,-8.124,-9.322,-6.911,0.23,0.002,79213,1
"D01","HARV","000","060","2018-03-24",47.14,33.92,59.34,50.34,0.03,77194,1,-8.657,-9.889,-7.077,0.232,0.002,77194,1
"D01","HARV","000","060","2018-03-25",63.23,24.73,92.77,324.71,0.07,76070,1,-7.011,-10.875,-3.568,5.063,0.008,76051,1
"D01","HARV","000","060","2018-03-26",57.88,34.9,69.95,56.61,0.03,51895,1,-8.78,-12.257,-7.351,0.937,0.004,51909,1
"D01","HARV","000","060","2018-03-27",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-03-28",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-03-29",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-03-30",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-03-31",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-04-01",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-04-02",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
"D01","HARV","000","060","2018-04-03",NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1
