"domainID","siteID","horizontalPosition","verticalPosition","date","wssPrecipTotal","precipQF"
"D01","HARV","900","000","2018-05-01",0.85,0
"D01","HARV","900","000","2018-05-02",0.25,0
"D01","HARV","900","000","2018-05-03",0.51,0
"D01","HARV","900","000","2018-05-04",0.19,0
"D01","HARV","900","000","2018-05-05",1.36,0
"D01","HARV","900","000","2018-05-06",3.51,0
"D01","HARV","900","000","2018-05-07",0.58,1
"D01","HARV","900","000","2018-05-08",0,1
"D01","HARV","900","000","2018-05-09",0,1
"D01","HARV","900","000","2018-05-10",0,1
"D01","HARV","900","000","2018-05-11",0,1
"D01","HARV","900","000","2018-05-12",0,1
"D01","HARV","900","000","2018-05-13",0,1
"D01","HARV","900","000","2018-05-14",0,1
"D01","HARV","900","000","2018-05-15",0,1
"D01","HARV","900","000","2018-05-16",0,1
"D01","HARV","900","000","2018-05-17",0,1
"D01","HARV","900","000","2018-05-18",0,1
"D01","HARV","900","000","2018-05-19",0,1
"D01","HARV","900","000","2018-05-20",0,1
"D01","HARV","900","000","2018-05-21",0,1
"D01","HARV","900","000","2018-05-22",0,1
"D01","HARV","900","000","2018-05-23",0,1
"D01","HARV","900","000","2018-05-24",0,1
"D01","HARV","900","000","2018-05-25",0,1
"D01","HARV","900","000","2018-05-26",0,1
"D01","HARV","900","000","2018-05-27",0,1
"D01","HARV","900","000","2018-05-28",0,1
"D01","HARV","900","000","2018-05-29",0,1
"D01","HARV","900","000","2018-05-30",0,1
"D01","HARV","900","000","2018-05-31",0,1
"D01","HARV","900","000","2018-06-01",0,1
"D01","HARV","900","000","2018-06-02",0,1
"D01","HARV","900","000","2018-06-03",0,1
"D01","HARV","900","000","2018-06-04",0.14,1
"D01","HARV","900","000","2018-06-05",0.56,1
"D01","HARV","900","000","2018-06-06",0.63,1
"D01","HARV","900","000","2018-06-07",0.79,1
"D01","HARV","900","000","2018-06-08",0.63,0
"D01","HARV","900","000","2018-06-09",0.48,0
"D01","HARV","900","000","2018-06-10",0.47,0
"D01","HARV","900","000","2018-06-11",0.08,0
"D01","HARV","900","000","2018-06-12",0.42,0
"D01","HARV","900","000","2018-06-13",0.54,0
"D01","HARV","900","000","2018-06-14",0.62,0
"D01","HARV","900","000","2018-06-15",1.71,0
"D01","HARV","900","000","2018-06-16",0.71,0
"D01","HARV","900","000","2018-06-17",0.36,0
"D01","HARV","900","000","2018-06-18",25.99,0
"D01","HARV","900","000","2018-06-19",1.8,0
"D01","HARV","900","000","2018-06-20",0.27,0
"D01","HARV","900","000","2018-06-21",0.2,0
"D01","HARV","900","000","2018-06-22",0.6,0
"D01","HARV","900","000","2018-06-23",1.21,0
"D01","HARV","900","000","2018-06-24",15.87,0
"D01","HARV","900","000","2018-06-25",11.77,0
"D01","HARV","900","000","2018-06-26",0.12,0
"D01","HARV","900","000","2018-06-27",0.55,0
"D01","HARV","900","000","2018-06-28",64.37,0
"D01","HARV","900","000","2018-06-29",0.71,0
"D01","HARV","900","000","2018-06-30",0.47,0
"D01","HARV","900","000","2018-07-01",0.12,0
"D01","HARV","900","000","2018-07-02",0.2,0
"D01","HARV","900","000","2018-07-03",0.47,0
"D01","HARV","900","000","2018-07-04",0.37,0
