"domainID","siteID","horizontalPosition","verticalPosition","date","wssShortRadMean","wssShortRadMinimum","wssShortRadMaximum","wssShortRadVariance","wssShortRadStdErMean","wssShortRadNumPts","shortRadQF"
"D01","HARV","000","060","2017-11-06",80.69,-1.54,578.16,21345.86,0.5,86454,0
"D01","HARV","000","060","2017-11-07",112.61,-1.61,614.72,31766.83,0.61,86460,0
"D01","HARV","000","060","2017-11-08",128.72,-1.7,717.41,38235.33,0.67,86460,0
"D01","HARV","000","060","2017-11-09",131.83,-1.52,564.82,39369.84,0.67,86460,0
"D01","HARV","000","060","2017-11-10",136.05,-1.6,546.9,40088.94,0.68,86460,0
"D01","HARV","000","060","2017-11-11",118.28,-1.54,539.52,35311.74,0.64,86460,0
"D01","HARV","000","060","2017-11-12",28,-1.63,173.51,1785.6,0.14,86460,0
"D01","HARV","000","060","2017-11-13",30.43,-0.78,249.47,2208.95,0.16,86460,0
"D01","HARV","000","060","2017-11-14",100.85,-1.49,676.22,28838.51,0.58,86458,0
"D01","HARV","000","060","2017-11-15",26.85,-1.35,632.88,2637.54,0.17,86460,0
"D01","HARV","000","060","2017-11-16",99.24,-1.65,641.25,30221.19,0.59,86460,0
"D01","HARV","000","060","2017-11-17",49.61,-1.61,398.37,6758.07,0.28,86460,0
"D01","HARV","000","060","2017-11-18",63.43,-0.9,704.42,20399.68,0.49,86460,0
"D01","HARV","000","060","2017-11-19",95.33,-1.51,705.52,28560.37,0.58,85904,0
"D01","HARV","000","060","2017-11-20",113.67,-1.63,480.46,30087.4,0.59,86460,0
"D01","HARV","000","060","2017-11-21",9.86,-1.74,92.63,329.97,0.06,86460,0
"D01","HARV","000","060","2017-11-25",77.17,-1.54,688.19,18336.48,0.46,86460,0
"D01","HARV","000","060","2017-11-26",81.4,-1.54,626.63,23320.69,0.52,86460,0
"D01","HARV","000","060","2017-11-27",104.18,-1.61,479.4,25553.8,0.54,86460,0
"D01","HARV","000","060","2017-11-28",83.01,-1.67,563.98,21714.33,0.5,85644,0
"D01","HARV","000","060","2017-11-30",31.83,-1.29,281.55,2538.5,0.17,86460,0
"D01","HARV","000","060","2017-12-01",67.15,-1.56,334.79,10695.78,0.35,86460,0
"D01","HARV","000","060","2017-12-02",39.1,-1.35,315.6,3821.97,0.21,86460,0
"D01","HARV","000","060","2017-12-03",95.26,-1.42,435.1,22869.95,0.52,85430,0
"D01","HARV","000","060","2017-12-04",6.44,-1.38,46.66,120.58,0.04,86460,0
"D01","HARV","000","060","2017-12-05",65.69,-1.56,491.92,13864.1,0.4,86460,0
"D01","HARV","000","060","2017-12-07",75.9,-1.52,623.78,14084.31,0.44,72060,0
"D01","HARV","000","060","2017-12-08",13.9,-0.96,99.01,581.42,0.08,86460,0
"D01","HARV","000","060","2017-12-09",61.06,-1.49,535.45,12453.48,0.38,86460,0
"D01","HARV","000","060","2017-12-10",48.27,-1.45,572.13,7278.44,0.29,86460,0
"D01","HARV","000","060","2017-12-12",54.54,-1.33,633.89,9011.21,0.32,86460,0
"D01","HARV","000","060","2017-12-13",88.7,-1.49,489.52,22163.86,0.51,86460,0
"D01","HARV","000","060","2017-12-14",42.62,-1.4,233.77,4825.4,0.24,86460,0
"D01","HARV","000","060","2017-12-15",62.08,-1.42,561.66,13009.38,0.39,86460,0
"D01","HARV","000","060","2017-12-17",16.82,-1.2,128.53,833.25,0.1,85489,0
"D01","HARV","000","060","2017-12-18",41.85,-1.49,422.47,5468.9,0.25,86460,0
"D01","HARV","000","060","2017-12-19",99.02,-1.67,638.01,29329.03,0.58,86460,0
"D01","HARV","000","060","2017-12-21",11.62,-1.47,77.67,405.58,0.07,86460,0
"D01","HARV","000","060","2017-12-22",7.54,-0.87,59.32,170.48,0.04,86460,0
"D01","HARV","000","060","2017-12-23",56.88,-1.35,435.89,8863.85,0.32,86460,0
"D01","HARV","000","060","2017-12-25",96.63,-1.6,560.5,24691.48,0.53,86460,0
"D01","HARV","000","060","2017-12-26",92.6,-1.67,535.24,24571.36,0.53,86460,0
"D01","HARV","000","060","2017-12-28",64.41,-1.35,425.21,11984.94,0.37,86460,0
"D01","HARV","000","060","2017-12-30",88.35,-1.74,496.72,22072.71,0.51,86459,0
"D01","HARV","000","060","2018-01-01",104.62,-1.45,456.49,26427.36,0.55,86400,0
"D01","HARV","000","060","2018-01-02",90.34,-1.44,508.92,22063.04,0.51,85857,0
"D01","HARV","000","060","2018-01-03",93.54,-1.6,529.22,22245.67,0.51,86400,0
"D01","HARV","000","060","2018-01-04",8.64,-1.52,68.59,243.63,0.05,86400,0
"D01","HARV","000","060","2018-01-05",98.25,-1.24,477.33,24418.74,0.53,86400,0
"D01","HARV","000","060","2018-01-06",105.29,-1.42,489.19,26399.36,0.55,86400,0
"D01","HARV","000","060","2018-01-07",107.43,-1.45,463.92,27507.02,0.56,86400,0
"D01","HARV","000","060","2018-01-08",52.1,-0.81,453.51,8439.95,0.31,86400,0
"D01","HARV","000","060","2018-01-09",77.14,-1.38,681.43,18246.34,0.46,86400,0
"D01","HARV","000","060","2018-01-10",108.55,-1.58,469.77,27907.17,0.57,86400,0
"D01","HARV","000","060","2018-01-11",26.25,-1.15,208.51,1713.12,0.14,86400,0
"D01","HARV","000","060","2018-01-12",10.87,-1.2,83.12,371.83,0.07,86400,0
"D01","HARV","000","060","2018-01-13",80.65,-1.65,659.74,22655.72,0.51,86400,0
"D01","HARV","000","060","2018-01-14",111.84,-1.86,510.8,31991.5,0.61,86400,0
"D01","HARV","000","060","2018-01-15",69.85,-1.77,576.22,16080.98,0.43,86280,0
"D01","HARV","000","060","2018-01-16",56.79,-0.83,623.5,9215.53,0.33,85283,0
"D01","HARV","000","060","2018-01-17",24.43,-0.92,162.4,1632.49,0.14,86400,0
"D01","HARV","000","060","2018-01-18",116.3,-1.56,560.04,32039.69,0.61,86400,0
"D01","HARV","000","060","2018-01-19",77.73,-1.42,646.28,20191.43,0.48,86400,0
"D01","HARV","000","060","2018-01-20",78.11,-1.52,621.07,17395.1,0.45,86400,0
"D01","HARV","000","060","2018-01-21",105.82,-1.56,482.23,26921.54,0.56,86400,0
"D01","HARV","000","060","2018-01-22",10.17,-1.67,72.52,272.66,0.06,86400,0
"D01","HARV","000","060","2018-01-23",12.25,-1.63,178.07,571.55,0.08,86400,0
"D01","HARV","000","060","2018-01-24",90.87,-1.74,746.26,24167.66,0.53,86400,0
"D01","HARV","000","060","2018-01-25",118.89,-1.54,530.22,33915.47,0.63,86400,0
