"uid","namedLocation","plotID","collectDate","identifiedDate","sampleID","subsampleID","scientificName","acceptedTaxonID","taxonRank","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","identificationReferences","identificationProtocolVersion","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks"
"173b18e4-0fce-4245-9593-4567b49e8db7","BLAN_005.tickPlot.tck","BLAN_005","2017-07-10T18:11Z","2018-01-30T17:00Z","BLAN_005.20170710","BLAN_005.20170710.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",4,"OK","90% ethanol","USNMENT01358734","BLAN_005.20170710.IXOSCA.N","Lorenza Beati","Georgia Southern University",NA
"c7e81e5c-2365-47e8-a578-786aa519c0af","BLAN_005.tickPlot.tck","BLAN_005","2017-07-31T15:31Z","2017-10-13T16:00Z","BLAN_005.20170731","BLAN_005.20170731.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","USNMENT01358791","BLAN_005.20170731.L","Guy Hobbs","Georgia Southern University",NA
"9f07d326-9cf7-4bfc-9be2-ab50458574ce","BLAN_005.tickPlot.tck","BLAN_005","2017-07-31T15:31Z","2018-01-13T17:00Z","BLAN_005.20170731","BLAN_005.20170731.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",3,"OK","90% ethanol","USNMENT01358793","BLAN_005.20170731.AMBAME.N","Lorenza Beati","Georgia Southern University",NA
"3e04297a-aea5-4a56-b58f-1ca98b113f3f","BLAN_005.tickPlot.tck","BLAN_005","2017-07-31T15:31Z","2018-01-13T17:00Z","BLAN_005.20170731","BLAN_005.20170731.IXOSCA.N","Ixodes scapularis","IXOSCA","species","Ixodidae",NA,NA,NA,"Ixodes",NA,"scapularis",NA,NA,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Nymph",10,"OK","90% ethanol","USNMENT01358792","BLAN_005.20170731.IXOSCA.N","Lorenza Beati","Georgia Southern University",NA
"050b302b-6ce9-4dd1-8ed1-eeb326b091ab","BLAN_012.tickPlot.tck","BLAN_012","2017-08-01T15:22Z","2018-01-13T17:00Z","BLAN_012.20170801","BLAN_012.20170801.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",NA,NA,NA,"Dermacentor",NA,"variabilis",NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358789","BLAN_012.20170801.DERVAR.M","Lorenza Beati","Georgia Southern University",NA
"71f082a5-6689-4af6-b745-d70fb8b94ee2","BLAN_012.tickPlot.tck","BLAN_012","2017-08-01T15:22Z","2017-10-13T16:00Z","BLAN_012.20170801","BLAN_012.20170801.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","USNMENT01358790","BLAN_012.20170801.L","Guy Hobbs","Georgia Southern University",NA
"53284406-17a1-404a-9f71-1ea4d4c9de36","BLAN_015.tickPlot.tck","BLAN_015","2017-08-01T16:38Z","2017-10-13T16:00Z","BLAN_015.20170801","BLAN_015.20170801.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","USNMENT01358787","BLAN_015.20170801.L","Guy Hobbs","Georgia Southern University",NA
"36d2c45b-2ab6-4410-a9b2-4ae5f042a2f7","BLAN_015.tickPlot.tck","BLAN_015","2017-08-01T16:38Z","2018-01-13T17:00Z","BLAN_015.20170801","BLAN_015.20170801.DERVAR.M","Dermacentor variabilis","DERVAR","species","Ixodidae",NA,NA,NA,"Dermacentor",NA,"variabilis",NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Male",1,"OK","90% ethanol","USNMENT01358788","BLAN_015.20170801.DERVAR.M","Lorenza Beati","Georgia Southern University",NA
"3189cd02-877b-46f4-ace5-9458931baa1e","BLAN_005.tickPlot.tck","BLAN_005","2017-08-21T15:57Z","2017-10-01T16:00Z","BLAN_005.20170821","BLAN_005.20170821.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","USNMENT01358750","BLAN_005.20170821.L","Guy Hobbs","Georgia Southern University",NA
"32227d71-56f5-4411-94f5-6c4b7431c66d","BLAN_012.tickPlot.tck","BLAN_012","2017-08-22T16:57Z","2017-10-01T16:00Z","BLAN_012.20170822","BLAN_012.20170822.IXOSP.L","Ixodidae sp.","IXOSP","family","Ixodidae",NA,NA,NA,"",NA,"sp.",NA,NA,"","GSU_tickIdentification_SOP_2016-11-01.pdf","","Larva",1,"OK","90% ethanol","USNMENT01358749","BLAN_012.20170822.L","Guy Hobbs","Georgia Southern University",NA
